	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
N	0.00109319869756	0.00164648423642	0.000380755354913	0.000570060593962	0.000161713119998	5.34895206151e-05	7.2687492123e-05	3.98523408543e-05	1.82314529423e-05	0.00134489072402	0.00274635588408	5.58727170782e-05	4.39832147236e-05	0.00012058974103	0.000106343522173	2.27595262221e-05	1.29751807433e-06	3.57479469458e-07	1.68544949859e-05	5.57403172747e-06	2.05219695429e-06	0.000306968944421	0.000743093897159
>	0.000271949196395	0.000680336390299	0.000138874153894	0.000278357346884	4.83126882982e-05	7.85130834772e-06	1.26441812345e-05	2.91279567706e-06	1.82711728834e-06	0.000101365289562	5.58727170782e-05	9.81214943759e-05	1.68544949859e-05	3.49800280854e-05	2.70889997967e-05	2.3169965613e-06	6.61999017514e-07	5.29599214011e-08	6.23603074498e-06	4.14411384964e-06	1.04595844767e-06	4.51615729748e-05	0.000213388763305
s	0.00138774854041	0.00307833515138	0.00114376218252	0.000752414843326	0.000273339394332	2.12369284818e-05	0.000190020197987	4.70813701256e-05	2.54869621743e-05	0.000204557696412	4.39832147236e-05	1.68544949859e-05	0.00151975114451	0.00148017684324	0.00309544120599	9.36861009586e-05	1.79401733746e-05	5.38867200256e-06	7.53487281734e-05	5.22582024426e-05	1.3001660704e-05	0.000260920292763	0.00302827478568
S	0.00383649614618	0.00893227330343	0.00411215253707	0.00206019390243	0.000786454832807	4.07129395771e-05	0.000541515196326	8.55699930039e-05	4.14940984178e-05	0.000537728561946	0.00012058974103	3.49800280854e-05	0.00148017684324	0.0162966813738	0.0153597012044	0.000241709081275	3.71116649218e-05	1.16379427279e-05	0.000197474306924	7.30979315139e-05	3.13522734695e-05	0.000990972809277	0.00654938135993
~	0.00279383445361	0.00851808699814	0.0138653840621	0.00204283628819	0.000732409233017	3.04916747467e-05	0.000512254839752	7.39452902563e-05	2.97237558864e-05	0.000504509451247	0.000106343522173	2.70889997967e-05	0.00309544120599	0.0153597012044	0.104454057818	0.000336163101094	3.36427900701e-05	1.75032540231e-05	0.000335712941762	8.14788390756e-05	4.62869713046e-05	0.0019282839782	0.00803566183411
b	0.000237829767032	0.000545407750549	0.00023625420937	0.000535689604972	0.000166942912237	6.80534990004e-06	0.000140793951045	3.93889415421e-05	7.37466905511e-06	7.33892110816e-05	2.27595262221e-05	2.3169965613e-06	9.36861009586e-05	0.000241709081275	0.000336163101094	0.00050421817168	2.38187246502e-05	4.70019302435e-06	2.07205692482e-05	6.40815048954e-06	3.15111532337e-06	0.000104463444964	0.000623960553968
B	4.79949287698e-05	0.000123714376393	2.75523991089e-05	4.80876086322e-05	1.85359724904e-05	1.41667789748e-06	1.74370541213e-05	5.77263143272e-06	2.5553162076e-06	5.15035235626e-06	1.29751807433e-06	6.61999017514e-07	1.79401733746e-05	3.71116649218e-05	3.36427900701e-05	2.38187246502e-05	2.27595262221e-05	1.20483821188e-06	2.54207622725e-06	1.44315785818e-06	5.16359233661e-07	1.33591401734e-05	0.000111732194176
|	1.32532203306e-05	4.65252909509e-05	9.4003860487e-06	4.6604730833e-06	5.08415245451e-06	8.34118762068e-07	4.72667298505e-06	2.1316368364e-06	1.48287779923e-06	2.72743595216e-06	3.57479469458e-07	5.29599214011e-08	5.38867200256e-06	1.16379427279e-05	1.75032540231e-05	4.70019302435e-06	1.20483821188e-06	5.16359233661e-07	8.20878781717e-07	7.81158840667e-07	2.91279567706e-07	3.48211483212e-06	5.71437551918e-05
y	0.000220842872243	0.000599546030202	0.000282514700714	0.000430736280736	0.000177614336399	7.42762897651e-06	7.44351695293e-05	8.16906787612e-06	4.38243349594e-06	0.000168227190331	1.68544949859e-05	6.23603074498e-06	7.53487281734e-05	0.000197474306924	0.000335712941762	2.07205692482e-05	2.54207622725e-06	8.20878781717e-07	0.000342054892349	5.44427992004e-05	1.0168304909e-05	7.78113645186e-05	0.000455693643696
Y	0.000100769490446	0.000198692385117	8.80855892704e-05	0.000138159194955	8.57023928074e-05	3.85283428193e-06	2.5288362469e-05	8.55302730628e-06	2.85983575566e-06	4.74256096147e-05	5.57403172747e-06	4.14411384964e-06	5.22582024426e-05	7.30979315139e-05	8.14788390756e-05	6.40815048954e-06	1.44315785818e-06	7.81158840667e-07	5.44427992004e-05	0.000122986177474	6.05067102008e-06	2.53016024494e-05	0.000216275079022
@	3.86739826032e-05	0.000138278354778	6.65441412405e-05	4.50026932106e-05	5.46281589253e-05	3.19083526442e-06	2.13825682657e-05	2.59503614865e-06	2.2905166006e-06	7.48058889791e-06	2.05219695429e-06	1.04595844767e-06	1.3001660704e-05	3.13522734695e-05	4.62869713046e-05	3.15111532337e-06	5.16359233661e-07	2.91279567706e-07	1.0168304909e-05	6.05067102008e-06	1.50538576583e-05	1.29884207236e-05	0.000106753961564
[	0.0017787648801	0.00572435846437	0.00301825212055	0.0016170517601	0.000439024508435	7.50706885861e-05	0.000922071951535	0.000175535659484	4.85112880034e-05	0.000715250218483	0.000306968944421	4.51615729748e-05	0.000260920292763	0.000990972809277	0.0019282839782	0.000104463444964	1.33591401734e-05	3.48211483212e-06	7.78113645186e-05	2.53016024494e-05	1.29884207236e-05	0.00617220079971	0.00257031710534
:	0.00921449672458	0.0191234966184	0.0058927842544	0.00487816484022	0.00205847270498	0.000382608952162	0.00223692116014	0.00057265563011	0.000423533731425	0.00222489925798	0.000743093897159	0.000213388763305	0.00302827478568	0.00654938135993	0.00803566183411	0.000623960553968	0.000111732194176	5.71437551918e-05	0.000455693643696	0.000216275079022	0.000106753961564	0.00257031710534	0.0941899748908
