	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
N	0.0009751453665717497	0.0029965404493611054	0.0024600170165231176	0.0009941258745996642	0.0003610649852833077	6.741853233768376e-05	0.00024957143022636904	6.690580709533949e-05	2.4572115387819885e-05	0.0002566334948850732	0.011647705093130145	2.285013249843723e-05	0.00012260905134851542	0.00040394042441670045	0.0006489843940125578	3.923799213110136e-05	6.733146578709699e-06	1.2673020140962223e-06	3.8212541646412814e-05	1.3853255604471683e-05	6.984672169293684e-06	0.0002944590740844337	0.00152874351738592
>	0.00032847880146070634	0.0010093879836552955	0.0008286594684865379	0.00033487240670342365	0.00012162514193370976	2.2710007612893478e-05	8.40684138897153e-05	2.253729554466513e-05	8.277144401886846e-06	8.644727822569066e-05	2.285013249843723e-05	0.003923542417280862	4.130099533445429e-05	0.00013606778129952177	0.00021861111503959808	1.321736129687128e-05	2.268067914847734e-06	4.268920931681799e-07	1.2871937160414585e-05	4.666484560433844e-06	2.3527945898276786e-06	9.918886665536687e-05	0.0005149589543732948
s	0.0017625488271435193	0.005416165666743106	0.004446414099745293	0.0017968555811004197	0.0006526151773360871	0.00012185717040042842	0.0004510935976453225	0.00012093043341790257	4.4413432747465666e-05	0.00046385808815935795	0.00012260905134851542	4.130099533445429e-05	0.021052911344884694	0.0007301113717993814	0.0011730217070329662	7.092160756839399e-05	1.2169979996943347e-05	2.2906140511488194e-06	6.906813360334227e-05	2.503938413164206e-05	1.2624605686484333e-05	0.0005322267976249448	0.002763162484219788
S	0.005806787618540133	0.017843774452805616	0.014648889122208039	0.005919812591829574	0.0021500668084005296	0.0004014633225556169	0.0014861459026101025	0.00039841015049428135	0.0001463218308640073	0.0015281990272284986	0.00040394042441670045	0.00013606778129952177	0.0007301113717993814	0.06935965860862082	0.003864566938390524	0.0002336540732222101	4.0094485937539007e-05	7.5465196233011645e-06	0.00022754772909953892	8.249325267608601e-05	4.15922684581942e-05	0.0017534424755270292	0.009103349339482186
~	0.009329382047413839	0.02866841358319877	0.023535402389254615	0.009510971805122429	0.0034543702991629635	0.0006450045980994746	0.0023876924410633155	0.0006400992682531161	0.00023508561905189634	0.002455256418192404	0.0006489843940125578	0.00021861111503959808	0.0011730217070329662	0.003864566938390524	0.11143558131383854	0.000375396563336414	6.441716175595268e-05	1.2124494525904889e-05	0.00036558590364369706	0.0001325364592450061	6.682354998246817e-05	0.0028171401861030003	0.014625749980581068
b	0.0005640601264710521	0.0017333097636350037	0.0014229647773841652	0.0005750391539327208	0.00020885333432816547	3.899737124381708e-05	0.0001443613407013909	3.870079201065274e-05	1.4213419853536433e-05	0.0001484462999506356	3.923799213110136e-05	1.321736129687128e-05	7.092160756839399e-05	0.0002336540732222101	0.000375396563336414	0.006737463185644021	3.8947008732525025e-06	7.330543310288475e-07	2.2103546622625553e-05	8.013235130025264e-06	4.040192572540671e-06	0.0001703260131897409	0.0008842817607697223
B	9.679138264887876e-05	0.0002974318529314503	0.00024417738783515255	9.867535777543727e-05	3.583873784329466e-05	6.691856603968611e-06	2.477206438071204e-05	6.640964309520292e-06	2.4389892056364288e-06	2.547303371933984e-05	6.733146578709699e-06	2.268067914847734e-06	1.2169979996943347e-05	4.0094485937539007e-05	6.441716175595268e-05	3.8947008732525025e-06	0.0011561327359980863	1.2579038816471347e-07	3.792916284355864e-06	1.375052182075341e-06	6.932874828620085e-07	2.9227540724866778e-05	0.0001517406571735026
|	1.8217918285924018e-05	5.5982144732787347e-05	4.595867500920257e-05	1.8572517052560755e-05	6.745509565332759e-06	1.259530481494092e-06	4.662558094645514e-06	1.2499516157286758e-06	4.5906262347467273e-07	4.794493415565401e-06	1.2673020140962223e-06	4.268920931681799e-07	2.2906140511488194e-06	7.5465196233011645e-06	1.2124494525904889e-05	7.330543310288475e-07	1.2579038816471347e-07	0.0002176054431260766	7.138965994980146e-07	2.588101089825714e-07	1.3048945438925736e-07	5.501160682410271e-06	2.85603823128288e-05
y	0.0005493189101480907	0.0016880112343092368	0.0013857768418805356	0.0005600110103634731	0.00020339513574858323	3.797820917482186e-05	0.00014058858376984564	3.768938077960511e-05	1.3841964600953873e-05	0.00014456678619452926	3.8212541646412814e-05	1.2871937160414585e-05	6.906813360334227e-05	0.00022754772909953892	0.00036558590364369706	2.2103546622625553e-05	3.792916284355864e-06	7.138965994980146e-07	0.006561385498839715	7.80381626321494e-06	3.934605685782951e-06	0.0001658746923322181	0.0008611718330967462
Y	0.00019914548843849767	0.0006119574905141334	0.000502387958879222	0.00020302171312417558	7.373717326379017e-05	1.3768302667935419e-05	5.0967810622384554e-05	1.3663593234530258e-05	5.0181502047002395e-06	5.241003489381416e-05	1.3853255604471683e-05	4.666484560433844e-06	2.503938413164206e-05	8.249325267608601e-05	0.0001325364592450061	8.013235130025264e-06	1.375052182075341e-06	2.588101089825714e-07	7.80381626321494e-06	0.0023787098821110055	1.4264190739344775e-06	6.01348251695535e-05	0.00031220204177076976
@	0.00010040715269035986	0.0003085428129547516	0.0002532989569209485	0.00010236150619808293	3.717754126847521e-05	6.941839752967439e-06	2.5697457590336345e-05	6.889046309588579e-06	2.5301008713642267e-06	2.642461256517725e-05	6.984672169293684e-06	2.3527945898276786e-06	1.2624605686484333e-05	4.15922684581942e-05	6.682354998246817e-05	4.040192572540671e-06	6.932874828620085e-07	1.3048945438925736e-07	3.934605685782951e-06	1.4264190739344775e-06	0.0011993216025727275	3.0319374142749736e-05	0.00015740912999894955
[	0.0042329541739462235	0.013007515430355582	0.010678550762825251	0.0043153456034033906	0.0015673268713709812	0.0002926533495856273	0.0010833507120978638	0.0002904276891568659	0.00010666372620856556	0.0011140060349845776	0.0002944590740844337	9.918886665536687e-05	0.0005322267976249448	0.0017534424755270292	0.0028171401861030003	0.0001703260131897409	2.9227540724866778e-05	5.501160682410271e-06	0.0001658746923322181	6.01348251695535e-05	3.0319374142749736e-05	0.05056087387688183	0.0066360375331136106
:	0.021976233107886586	0.06753113298777648	0.05543984441472699	0.022403984788022236	0.008137092740929079	0.0015193687354053732	0.005624433151956926	0.0015078137715688854	0.000553766191409047	0.005783586427440629	0.00152874351738592	0.0005149589543732948	0.002763162484219788	0.009103349339482186	0.014625749980581068	0.0008842817607697223	0.0001517406571735026	2.85603823128288e-05	0.0008611718330967462	0.00031220204177076976	0.00015740912999894955	0.0066360375331136106	0.26249694770991033
