	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
N	0.000866517083629	0.00120628622676	0.000279611973767	0.0004125984021	0.000116687985594	3.73312909712e-05	4.96407452526e-05	2.66939884171e-05	8.42119785536e-06	0.00101848142675	0.00208948453485	4.1320279429e-05	3.3261716888e-05	9.58968942381e-05	6.90820273828e-05	1.93405500984e-05	1.20878438115e-06	2.01464063525e-08	1.27123824084e-05	5.943189874e-06	2.01464063525e-06	0.000247176259539	0.000525196667204
>	0.000202612408687	0.000519817576708	0.000106856539294	0.00018597147704	2.98569742145e-05	5.76187221682e-06	8.05856254101e-06	2.67947204489e-06	1.87361579079e-06	7.59318055427e-05	4.3717701785e-05	7.46625819425e-05	1.41830700722e-05	2.25035358958e-05	2.40548091849e-05	1.28937000656e-06	3.82781720698e-07	6.04392190576e-08	4.21059892768e-06	1.14834516209e-06	5.84245784223e-07	3.60217745583e-05	0.000161130958008
s	0.00108387666177	0.00236889504456	0.000827211444835	0.000574515069955	0.000197535514287	1.71244453997e-05	0.000139171375083	4.09576441147e-05	2.1314897921e-05	0.000163185891456	3.36847914214e-05	1.14834516209e-05	0.00115626269979	0.00114643125349	0.00221799846098	7.40178969392e-05	1.43643877294e-05	2.4175687623e-06	5.74978437301e-05	3.61023601837e-05	9.42851817299e-06	0.000200557475239	0.00238593890433
S	0.00291190113498	0.00702990717906	0.00302415691117	0.00150076624842	0.000556081108143	3.18514684434e-05	0.000397146108427	7.14593033324e-05	3.55987000249e-05	0.000439916929114	8.76167212272e-05	3.0743416094e-05	0.0011058765375	0.0123988035936	0.0102345355983	0.000186696747669	2.99979990589e-05	6.02377549941e-06	0.000136008389286	6.04996582767e-05	2.03277240097e-05	0.000752992083832	0.00497636383314
~	0.00218991437052	0.0065876331204	0.0103899248305	0.00153983013034	0.000544073849956	2.31482208991e-05	0.000386005145715	6.61809448681e-05	2.12746051083e-05	0.000391303650585	9.27540548471e-05	1.71848846187e-05	0.00249215075862	0.0131373305576	0.0794704412329	0.000255859360677	2.83862865507e-05	8.05856254101e-06	0.00027131165435	6.32395695406e-05	2.53643255978e-05	0.00151486873287	0.00636028092471
b	0.000179685798258	0.000409435416303	0.000179000820442	0.000424948149194	0.00011610373981	4.71425908649e-06	0.000107199028202	2.41555412167e-05	5.78201862318e-06	5.85656032668e-05	1.53112688279e-05	2.25639751148e-06	6.85582208177e-05	0.000181116193109	0.00025567804302	0.000383627869765	1.77288375902e-05	2.57874001312e-06	1.4344241323e-05	5.45967612154e-06	1.91390860349e-06	7.84702527431e-05	0.000435565305342
B	3.954739567e-05	9.34793254758e-05	2.0972409013e-05	4.40803370993e-05	1.73057630568e-05	8.86441879511e-07	1.48479014818e-05	5.15748002625e-06	2.31683673054e-06	3.52562111169e-06	7.85709847749e-07	6.44685003281e-07	1.29541392847e-05	2.64925243536e-05	2.28258783974e-05	1.85346938443e-05	1.73259094632e-05	5.64099377871e-07	1.83332297808e-06	1.16849156845e-06	4.23074533403e-07	1.04156920843e-05	7.10563752054e-05
|	1.53515616406e-05	5.02048446305e-05	9.06588285864e-06	5.1776264326e-06	5.76187221682e-06	9.87173911274e-07	5.35894408977e-06	2.78020407665e-06	1.91390860349e-06	3.66664595616e-06	5.43952971518e-07	4.02928127051e-08	5.80216502953e-06	1.17050620908e-05	1.85951330634e-05	4.59338064838e-06	1.28937000656e-06	4.02928127051e-07	9.46881098569e-07	8.66295473159e-07	3.62635314346e-07	4.13001330227e-06	6.3320155166e-05
y	0.000160848908319	0.000451440673548	0.000206440225894	0.000348230633804	0.00011952862889	6.84977815986e-06	6.39849865756e-05	7.95783050925e-06	4.04942767686e-06	0.000118521308572	1.29541392847e-05	5.29850487072e-06	5.71755012285e-05	0.000164495407868	0.000239540771532	1.72050310251e-05	2.05493344796e-06	3.22342501641e-07	0.000260251277262	4.46041436645e-05	7.91753769655e-06	5.43952971518e-05	0.000358485154637
Y	7.9034352121e-05	0.000152709760152	6.0459365464e-05	0.000109153229618	6.33403015724e-05	2.55859360677e-06	1.90786468158e-05	9.06588285864e-06	3.00181454653e-06	3.81371472253e-05	2.55859360677e-06	5.1776264326e-06	4.34356520961e-05	5.0748797602e-05	6.07615615592e-05	4.31133095944e-06	1.04761313033e-06	3.42488907993e-07	3.82580256635e-05	9.35800575075e-05	4.3717701785e-06	1.91189396286e-05	0.000156396552515
@	3.0743416094e-05	0.000116123886216	5.47780788725e-05	3.22543965704e-05	4.20455500577e-05	1.65200532091e-06	1.91592324413e-05	2.63917923218e-06	2.09522626066e-06	6.20509315658e-06	1.12819875574e-06	1.02746672398e-06	1.03753992716e-05	2.73991126394e-05	4.5087657417e-05	2.90108251476e-06	3.82781720698e-07	1.00732031763e-07	7.57504878855e-06	4.85528393096e-06	1.14633052146e-05	9.69042145557e-06	7.68786866413e-05
[	0.00132581485565	0.00434620438884	0.00226834433045	0.00121291439445	0.000334732541547	5.67927195078e-05	0.000656994457562	0.000141186015719	3.86408073842e-05	0.000531764395675	0.000219938318151	3.27177639165e-05	0.000196487901156	0.000754926138842	0.00141929418113	8.05050397847e-05	9.9321783318e-06	1.1886379748e-06	6.40252793883e-05	1.94009893175e-05	1.00933495826e-05	0.00469592585671	0.00194634431772
:	0.00684883127876	0.0144427572501	0.00449764492539	0.00364257100057	0.00156229337342	0.000296998322449	0.00176156147865	0.000478900225406	0.000356571246033	0.00169247945127	0.000605540535738	0.000163588819583	0.00222200759584	0.00498941870446	0.0058670767508	0.00051389453324	9.897929441e-05	2.36518810579e-05	0.000334934005611	0.00017271514166	8.55819341856e-05	0.00196475813312	0.0716613516417
