	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
N	0.000875925201994	0.00357416924866	0.00152570509334	0.00130928808071	0.000314110210447	2.2799568706e-05	0.000203433517772	3.7431750985e-05	1.44699842674e-05	0.000231332960005	3.78214089092e-05	1.32129496766e-05	0.000112830946087	0.000483974276675	0.00164457791537	2.75649495469e-05	3.62234083677e-06	1.2006072704e-06	2.40574175437e-05	9.0564627772e-06	3.95952053882e-06	0.000204166747237	0.00158729001732
>	0.000153002703339	0.00062431992594	0.000266503353538	0.000228700596059	5.48673690807e-05	3.98252686307e-06	3.55348585679e-05	6.53841113191e-06	2.52755224435e-06	4.04082085682e-05	1.32129496766e-05	1.15398952731e-06	1.97088058802e-05	8.45384657382e-05	0.00028726752733	4.81492231128e-06	6.32734323868e-07	2.09716717365e-07	4.20224228185e-06	1.58194248145e-06	6.91631368738e-07	3.56629358171e-05	0.000277260733087
s	0.00130655456913	0.00533133097672	0.00227578445775	0.00195297077909	0.000468535589267	3.40084753802e-05	0.000303447134017	5.58342483681e-05	2.15838338898e-05	0.000345062723617	0.000112830946087	1.97088058802e-05	8.41508999933e-05	0.00072190958896	0.00245309848914	4.11166509382e-05	5.403185067e-06	1.79085943788e-06	3.58847179436e-05	1.35088735828e-05	5.9061317562e-06	0.000304540839628	0.00236764625558
S	0.00560430293691	0.0228680795708	0.00976169371085	0.00837702468121	0.00200972499811	0.000145875115328	0.0013015986508	0.000239494047553	9.25811646269e-05	0.0014801035342	0.000483974276675	8.45384657382e-05	0.00072190958896	0.00154827059091	0.0105222601429	0.000176364748211	2.31762887331e-05	7.68166829342e-06	0.000153923023893	5.79446290903e-05	2.53336158544e-05	0.00130628996466	0.0101557234403
~	0.0190438072544	0.0777073089243	0.0331709073542	0.0284657066525	0.00682918391977	0.000495693685865	0.00442292183476	0.000813817263539	0.00031459717192	0.0050294937192	0.00164457791537	0.00028726752733	0.00245309848914	0.0105222601429	0.0178776822289	0.000599299557716	7.87546248789e-05	2.61028377692e-05	0.000523041033295	0.000196899839327	8.6085370976e-05	0.0044388632423	0.0345098475051
b	0.000319195327411	0.00130246066782	0.000555981190737	0.000477116809342	0.000114464695431	8.30837585373e-06	7.41330745634e-05	1.36404797853e-05	5.27299746067e-06	8.4299891979e-05	2.75649495469e-05	4.81492231128e-06	4.11166509382e-05	0.000176364748211	0.000599299557716	5.02246257766e-06	1.32001484459e-06	4.37512506654e-07	8.76674772235e-06	3.30025965091e-06	1.4428862783e-06	7.44002702313e-05	0.000578423312427
B	4.19458148261e-05	0.000171157812471	7.30621098455e-05	6.26984533183e-05	1.50419335948e-05	1.09181295946e-06	9.74191020699e-06	1.79251069824e-06	6.92930491363e-07	1.10779430498e-05	3.62234083677e-06	6.32734323868e-07	5.403185067e-06	2.31762887331e-05	7.87546248789e-05	1.32001484459e-06	8.6732313233e-08	5.74940076256e-08	1.15204811916e-06	4.33690810319e-07	1.89611298937e-07	9.77702268842e-06	7.60112541463e-05
|	1.3902736521e-05	5.67294253351e-05	2.42160813198e-05	2.07810977179e-05	4.98557580541e-06	3.61876100597e-07	3.22890880487e-06	5.9411896162e-07	2.29668444605e-07	3.67173039919e-06	1.2006072704e-06	2.09716717365e-07	1.79085943788e-06	7.68166829342e-06	2.61028377692e-05	4.37512506654e-07	5.74940076256e-08	9.52805474004e-09	3.81840751614e-07	1.43744711897e-07	6.28457437638e-08	3.24054666623e-06	2.51935608692e-05
y	0.000278578970604	0.00113672764271	0.000485234759065	0.000416405561706	9.98995106926e-05	7.25116752647e-06	6.46999308139e-05	1.19047820905e-05	4.60202916034e-06	7.35730604832e-05	2.40574175437e-05	4.20224228185e-06	3.58847179436e-05	0.000153923023893	0.000523041033295	8.76674772235e-06	1.15204811916e-06	3.81840751614e-07	3.82560668392e-06	2.88031452006e-06	1.25928464357e-06	6.49331268782e-05	0.000504821208557
Y	0.00010487160865	0.000427923386429	0.000182667592051	0.000156756703539	3.76073698852e-05	2.72971646584e-06	2.43564178922e-05	4.48157894243e-06	1.73244304857e-06	2.76967252391e-05	9.0564627772e-06	1.58194248145e-06	1.35088735828e-05	5.79446290903e-05	0.000196899839327	3.30025965091e-06	4.33690810319e-07	1.43744711897e-07	2.88031452006e-06	5.42150070558e-07	4.7406021364e-07	2.44442050154e-05	0.000190040949995
@	4.58502727395e-05	0.000187089758915	7.98629774444e-05	6.85346368144e-05	1.64420875053e-05	1.19344259205e-06	1.06487200653e-05	1.95936363958e-06	7.57430798526e-07	1.21091153511e-05	3.95952053882e-06	6.91631368738e-07	5.9061317562e-06	2.53336158544e-05	8.6085370976e-05	1.4428862783e-06	1.89611298937e-07	6.28457437638e-08	1.25928464357e-06	4.7406021364e-07	1.03630479069e-07	1.06871009349e-05	8.30866380432e-05
[	0.00236420065344	0.00964700325318	0.00411801483782	0.00353388591732	0.000847811620329	6.15380800894e-05	0.000549085303804	0.000101031651945	3.90557848801e-05	0.000624388399786	0.000204166747237	3.56629358171e-05	0.000304540839628	0.00130628996466	0.0044388632423	7.44002702313e-05	9.77702268842e-06	3.24054666623e-06	6.49331268782e-05	2.44442050154e-05	1.06871009349e-05	0.000275532177935	0.00428423806919
:	0.0183804275032	0.075000420823	0.0320154184347	0.0274741206138	0.00659129334101	0.000478426489784	0.00426885197115	0.000785468420968	0.000303638365688	0.00485429428311	0.00158729001732	0.000277260733087	0.00236764625558	0.0101557234403	0.0345098475051	0.000578423312427	7.60112541463e-05	2.51935608692e-05	0.000504821208557	0.000190040949995	8.30866380432e-05	0.00428423806919	0.0166538586991
